<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURPLN,D,20040206,000000,4.8515,4.8975,4.8276,4.8552,0,0
EURPLN,D,20040209,000000,4.8473,4.8515,4.8183,4.8233,0,0
EURPLN,D,20040210,000000,4.875,4.8837,4.812,4.8297,0,0
EURPLN,D,20040211,000000,4.8391,4.8857,4.8293,4.8732,0,0
EURPLN,D,20040212,000000,4.865,4.8745,4.839,4.8578,0,0
EURPLN,D,20040213,000000,4.8715,4.8715,4.8399,4.8524,0,0
EURPLN,D,20040216,000000,4.8556,4.8664,4.8454,4.8542,0,0
EURPLN,D,20040217,000000,4.8597,4.8803,4.8514,4.8663,0,0
EURPLN,D,20040218,000000,4.8709,4.8967,4.8665,4.8862,0,0
EURPLN,D,20040219,000000,4.8747,4.9105,4.8665,4.8917,0,0
EURPLN,D,20040220,000000,4.8945,4.931,4.8784,4.8853,0,0
EURPLN,D,20040223,000000,4.9005,4.9093,4.8622,4.8686,0,0
EURPLN,D,20040224,000000,4.8693,4.8983,4.851,4.8902,0,0
EURPLN,D,20040225,000000,4.8951,4.9001,4.8215,4.8284,0,0
EURPLN,D,20040226,000000,4.8226,4.8826,4.8029,4.8668,0,0
EURPLN,D,20040227,000000,4.8642,4.8925,4.8469,4.8888,0,0
EURPLN,D,20040301,000000,4.9137,4.9426,4.88,4.8845,0,0
EURPLN,D,20040302,000000,4.8731,4.8794,4.8338,4.8579,0,0
EURPLN,D,20040303,000000,4.8617,4.8617,4.8062,4.8091,0,0
EURPLN,D,20040304,000000,4.8198,4.8468,4.7984,4.8468,0,0
EURPLN,D,20040305,000000,4.8235,4.9011,4.8156,4.8446,0,0
EURPLN,D,20040308,000000,4.8373,4.8385,4.7786,4.7818,0,0
EURPLN,D,20040309,000000,4.7945,4.8074,4.7673,4.7723,0,0
EURPLN,D,20040310,000000,4.7513,4.7804,4.742,4.7473,0,0
EURPLN,D,20040311,000000,4.7509,4.8069,4.7445,4.7887,0,0
EURPLN,D,20040312,000000,4.7756,4.7867,4.7262,4.7301,0,0
EURPLN,D,20040315,000000,4.74,4.7446,4.6966,4.7044,0,0
EURPLN,D,20040316,000000,4.7068,4.7401,4.7033,4.7244,0,0
EURPLN,D,20040317,000000,4.7259,4.7375,4.7032,4.715,0,0
EURPLN,D,20040318,000000,4.7409,4.7597,4.7202,4.7496,0,0
EURPLN,D,20040319,000000,4.7419,4.7556,4.7032,4.7065,0,0
EURPLN,D,20040322,000000,4.7003,4.7377,4.6973,4.7199,0,0
EURPLN,D,20040323,000000,4.7161,4.7172,4.6872,4.7031,0,0
EURPLN,D,20040324,000000,4.7022,4.71,4.6844,4.6858,0,0
EURPLN,D,20040325,000000,4.6961,4.7559,4.6926,4.7479,0,0
EURPLN,D,20040326,000000,4.7402,4.7742,4.726,4.741,0,0
EURPLN,D,20040329,000000,4.7304,4.7381,4.7039,4.7381,0,0
EURPLN,D,20040330,000000,4.7464,4.7496,4.7098,4.7177,0,0
EURPLN,D,20040331,000000,4.7257,4.7589,4.7197,4.7533,0,0
EURPLN,D,20040401,000000,4.7349,4.7594,4.7287,4.7362,0,0
EURPLN,D,20040402,000000,4.7443,4.7552,4.6994,4.7089,0,0
EURPLN,D,20040405,000000,4.7025,4.7215,4.699,4.7159,0,0
EURPLN,D,20040406,000000,4.7122,4.7375,4.7056,4.7214,0,0
EURPLN,D,20040407,000000,4.7152,4.7437,4.7095,4.7391,0,0
EURPLN,D,20040408,000000,4.7495,4.7495,4.7198,4.734,0,0
EURPLN,D,20040409,000000,4.7372,4.7473,4.7214,4.7375,0,0
EURPLN,D,20040413,000000,4.7318,4.7629,4.7088,4.7431,0,0
EURPLN,D,20040414,000000,4.7581,4.8086,4.7341,4.8086,0,0
EURPLN,D,20040415,000000,4.8208,4.8266,4.7835,4.7894,0,0
EURPLN,D,20040416,000000,4.8072,4.818,4.7688,4.7976,0,0
EURPLN,D,20040419,000000,4.7847,4.7963,4.7664,4.7664,0,0
EURPLN,D,20040420,000000,4.7557,4.7807,4.7487,4.7576,0,0
EURPLN,D,20040421,000000,4.7509,4.7599,4.732,4.7586,0,0
EURPLN,D,20040422,000000,4.7461,4.7788,4.7349,4.7687,0,0
EURPLN,D,20040423,000000,4.7682,4.799,4.739,4.7513,0,0
EURPLN,D,20040426,000000,4.7463,4.7783,4.7461,4.7704,0,0
EURPLN,D,20040427,000000,4.769,4.791,4.7604,4.7895,0,0
