<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19950127,000000,4.77565,4.77565,4.77565,4.77565,22734.03651186837,0
CDR,D,19950130,000000,4.72901,4.72901,4.72901,4.72901,33806.79927909207,0
CDR,D,19950131,000000,4.72901,4.72901,4.72901,4.72901,52714.49625264094,0
CDR,D,19950201,000000,4.83193,4.83193,4.83193,4.83193,23698.25778456382,0
CDR,D,19950202,000000,4.83193,4.83193,4.83193,4.83193,46059.63855640464,0
CDR,D,19950203,000000,4.72901,4.72901,4.72901,4.72901,32539.158851947836,0
CDR,D,19950206,000000,4.97238,4.97238,4.97238,4.97238,6843.221936414756,0
CDR,D,19950207,000000,5.47808,5.47808,5.47808,5.47808,73681.98164716373,0
CDR,D,19950208,000000,5.37505,5.37505,5.37505,5.37505,43506.03037063961,0
CDR,D,19950209,000000,5.02865,5.02865,5.02865,5.02865,17113.654858987928,0
CDR,D,19950210,000000,5.02865,5.02865,5.02865,5.02865,44962.03503796189,0
CDR,D,19950213,000000,4.92552,4.92552,4.92552,4.92552,4664.30586084154,0
CDR,D,19950214,000000,5.12225,5.12225,5.12225,5.12225,10831.45290277917,0
CDR,D,19950215,000000,4.99103,4.99103,4.99103,4.99103,9023.156197070013,0
CDR,D,19950216,000000,5.10349,5.10349,5.10349,5.10349,7738.206623531043,0
CDR,D,19950217,000000,5.04741,5.04741,5.04741,5.04741,8919.301318701571,0
CDR,D,19950220,000000,4.86945,4.86945,4.86945,4.86945,7288.1688172677905,0
CDR,D,19950221,000000,4.61655,4.61655,4.61655,4.61655,33580.762190878195,0
CDR,D,19950222,000000,4.67272,4.67272,4.67272,4.67272,18613.441484837887,0
CDR,D,19950223,000000,4.757,4.757,4.757,4.757,25773.31898176839,0
CDR,D,19950224,000000,5.22518,5.22518,5.22518,5.22518,98233.47853048088,0
CDR,D,19950227,000000,4.71034,4.71034,4.71034,4.71034,27578.561132231414,0
CDR,D,19950228,000000,4.72901,4.72901,4.72901,4.72901,18380.277101050513,0
CDR,D,19950301,000000,4.79451,4.79451,4.79451,4.79451,11997.274821719046,0
CDR,D,19950302,000000,4.92552,4.92552,4.92552,4.92552,16331.688715978677,0
CDR,D,19950303,000000,4.99103,4.99103,4.99103,4.99103,15136.339429659136,0
CDR,D,19950306,000000,4.97238,4.97238,4.97238,4.97238,29086.49323873853,0
CDR,D,19950307,000000,4.92552,4.92552,4.92552,4.92552,27492.015400257715,0
CDR,D,19950308,000000,4.99103,4.99103,4.99103,4.99103,11828.256098100217,0
CDR,D,19950309,000000,5.0099,5.0099,5.0099,5.0099,16578.089505833417,0
CDR,D,19950310,000000,4.94439,4.94439,4.94439,4.94439,26270.193301805448,0
CDR,D,19950313,000000,4.90687,4.90687,4.90687,4.90687,29128.238827101915,0
CDR,D,19950314,000000,4.83193,4.83193,4.83193,4.83193,8282.935642424347,0
CDR,D,19950315,000000,4.92552,4.92552,4.92552,4.92552,11261.127007401756,0
CDR,D,19950316,000000,4.83193,4.83193,4.83193,4.83193,9933.413660416954,0
CDR,D,19950317,000000,4.85069,4.85069,4.85069,4.85069,19479.91698965756,0
CDR,D,19950320,000000,4.77565,4.77565,4.77565,4.77565,18543.186714177486,0
CDR,D,19950321,000000,4.79451,4.79451,4.79451,4.79451,15440.776769190563,0
CDR,D,19950322,000000,4.77565,4.77565,4.77565,4.77565,16657.507942232616,0
CDR,D,19950323,000000,4.72901,4.72901,4.72901,4.72901,26514.5577214959,0
CDR,D,19950324,000000,4.757,4.757,4.757,4.757,6733.2579475540515,0
CDR,D,19950327,000000,4.77565,4.77565,4.77565,4.77565,16764.417375847188,0
CDR,D,19950328,000000,4.71034,4.71034,4.71034,4.71034,12726.295340462839,0
CDR,D,19950329,000000,4.61655,4.61655,4.61655,4.61655,7148.6774610278235,0
CDR,D,19950330,000000,4.63531,4.63531,4.63531,4.63531,12617.349536683976,0
CDR,D,19950331,000000,4.72901,4.72901,4.72901,4.72901,16900.85417684143,0
CDR,D,19950403,000000,4.83193,4.83193,4.83193,4.83193,14388.991579439768,0
CDR,D,19950404,000000,4.92552,4.92552,4.92552,4.92552,37739.03006594449,0
CDR,D,19950405,000000,4.92552,4.92552,4.92552,4.92552,25461.754346663467,0
CDR,D,19950406,000000,4.99103,4.99103,4.99103,4.99103,60451.68469109035,0
CDR,D,19950407,000000,5.12225,5.12225,5.12225,5.12225,70642.69917726371,0
CDR,D,19950410,000000,5.65594,5.65594,5.65594,5.65594,108183.1831522087,0
CDR,D,19950411,000000,5.69336,5.69336,5.69336,5.69336,66592.35892089465,0
CDR,D,19950412,000000,5.69336,5.69336,5.69336,5.69336,80648.40397850597,0
CDR,D,19950413,000000,5.44056,5.44056,5.44056,5.44056,74211.43788982638,0
CDR,D,19950414,000000,5.57168,5.57168,5.57168,5.57168,42785.155332551956,0
CDR,D,19950418,000000,6.02121,6.02121,6.02121,6.02121,19503.335246544357,0
CDR,D,19950419,000000,6.61117,6.61117,6.61117,6.61117,73514.9992937092,0
CDR,D,19950420,000000,6.51748,6.51748,6.51748,6.51748,87980.35475430223,0
CDR,D,19950421,000000,6.32085,6.32085,6.32085,6.32085,81998.51739729632,0
CDR,D,19950424,000000,6.62993,6.62993,6.62993,6.62993,73222.7801751625,0
CDR,D,19950425,000000,6.51748,6.51748,6.51748,6.51748,111318.17501982022,0
CDR,D,19950426,000000,5.98379,5.98379,5.98379,5.98379,51631.1473253472,0
CDR,D,19950427,000000,6.08672,6.08672,6.08672,6.08672,86725.95073322437,0
CDR,D,19950428,000000,6.12423,6.12423,6.12423,6.12423,98584.75238378589,0
CDR,D,19950504,000000,6.33962,6.33962,6.33962,6.33962,74563.72992821406,0
CDR,D,19950505,000000,6.555,6.555,6.555,6.555,79519.23672252026,0
CDR,D,19950509,000000,6.9015,6.9015,6.9015,6.9015,74519.94796968639,0
CDR,D,19950510,000000,7.60373,7.60373,7.60373,7.60373,139979.06689426576,0
CDR,D,19950511,000000,8.29682,8.29682,8.29682,8.29682,200779.98906849584,0
CDR,D,19950512,000000,7.90337,7.90337,7.90337,7.90337,113140.72631668221,0
CDR,D,19950515,000000,8.40908,8.40908,8.40908,8.40908,93872.5918240875,0
CDR,D,19950516,000000,7.56631,7.56631,7.56631,7.56631,61827.25273693079,0
CDR,D,19950517,000000,7.56631,7.56631,7.56631,7.56631,144733.99122741117,0
